"position","player","dob","club","country"
"GK","Justin Bijlow","Jan 22, 1998","Feyenoord","Netherlands"
"GK","Remko Pasveer","Nov 8, 1983","Ajax","Netherlands"
"GK","Andries Noppert","Apr 7, 1994","Heerenveen","Netherlands"
"DF","Daley Blind","Mar 9, 1990","Ajax","Netherlands"
"DF","Stefan de Vrij","Feb 5, 1992","Inter","Netherlands"
"DF","Virgil van Dijk","Jul 8, 1991","Liverpool","Netherlands"
"DF","Matthijs de Ligt","Aug 12, 1999","Bayern Munich","Netherlands"
"DF","Denzel Dumfries","Apr 18, 1996","Inter","Netherlands"
"DF","Nathan Ake","Feb 18, 1995","Manchester City","Netherlands"
"DF","Jurrien Timber","Jun 17, 2001","Ajax","Netherlands"
"DF","Tyrell Malacia","Jun 17, 1999","Manchester United","Netherlands"
"DF","Jeremie Frimpong","Dec 10, 2000","Bayer Leverkusen","Netherlands"
"MF","Frenkie de Jong","May 12, 1997","Barcelona","Netherlands"
"MF","Steven Berghuis","Dec 19, 1991","Ajax","Netherlands"
"MF","Maarten de Roon","Mar 29, 1991","Atalanta","Netherlands"
"MF","Teun Koopmeiners","Feb 28, 1998","Atalanta","Netherlands"
"MF","Kenneth Taylor","May 16, 2002","Ajax","Netherlands"
"MF","Xavi Simons","Apr 21, 2003","PSV","Netherlands"
"MF","Davy Klaassen","February 21, 1993","Ajax","Netherlands"
"FW","Memphis Depay","Feb 13, 1994","Barcelona","Netherlands"
"FW","Luuk de Jong","Aug 27, 1990","PSV","Netherlands"
"FW","Steven Bergwijn","Oct 8, 1997","Ajax","Netherlands"
"FW","Vincent Janssen","Jun 15, 1994","Antwerp","Netherlands"
"FW","Wout Weghorst","Aug 7, 1992","Besiktas","Netherlands"
"FW","Cody Gakpo","May 7, 1999","PSV","Netherlands"
"FW","Noa Lang","Jun 17, 1999","Club Brugge","Netherlands"
"GK","Saad Al Sheeb","Feb 19, 1990","Al-Sadd","Qatar"
"GK","Meshaal Barsham","Feb 14, 1998","Al-Sadd","Qatar"
"GK","Yousef Hassan","May 24, 1996","Al-Gharafa","Qatar"
"DF","Abdelkarim Hassan","Aug 28, 1993","Al-Sadd","Qatar"
"DF","Boualem Khoukhi","Sep 7, 1990","Al-Sadd","Qatar"
"DF","Ro-Ro","Aug 6, 1990","Al-Sadd","Qatar"
"DF","Tarek Salman","Dec 5, 1997","Al-Sadd","Qatar"
"DF","Bassam Al-Rawi","Dec 16, 1997","Al-Duhail","Qatar"
"DF","Musab Kheder","Sep 26, 1993","Al-Sadd","Qatar"
"DF","Homam Ahmed","Aug 25, 1999","Al-Gharafa","Qatar"
"DF","Jassem Gaber","Feb 20, 2002","Al-Arabi","Qatar"
"MF","Karim Boudiaf","Sep 16, 1990","Al-Duhail","Qatar"
"MF","Salem Al-Hajri","Apr 10, 1996",NA,"Qatar"
"MF","Abdulaziz Hatem","Oct 28, 1990","Al-Rayyan","Qatar"
"MF","Ali Assadalla","Jan 19, 1993","Al-Sadd","Qatar"
"MF","Mohammed Waad","Sep 18, 1999","Al-Sadd","Qatar"
"MF","Ahmed Fadhel","Apr 7, 1993","Al-Wakrah","Qatar"
"MF","Mustafa Tarek","Mar 28, 2001","Al-Sadd","Qatar"
"FW","Hassan Al-Haydos","Dec 11, 1990","Al-Sadd","Qatar"
"FW","Akram Afif","Nov 18, 1996","Al-Sadd","Qatar"
"FW","Almoez Ali","Aug 19, 1996","Al-Duhail","Qatar"
"FW","Ismaeel Mohammada","Apr 5, 1990","Al-Duhail","Qatar"
"FW","Mohammed Muntari","Dec 20, 1993","Al-Duhail","Qatar"
"FW","Ahmed Alaaeldin","Jan 31, 1993","Al-Gharafa","Qatar"
"FW","Khalid Muneer","Feb 24, 1998","Al-Wakrah","Qatar"
"FW","Naif Al-Hadhrami","Jul 18, 2001","Al-Rayyan","Qatar"
"GK","Hernan Galindez","March 30, 1987","Aucas","Ecuador"
"GK","Moises Ramirez","September 9, 2000","Independiente del Valle","Ecuador"
"GK","Alexander Dominguez","June 5, 1987","LDU Quito","Ecuador"
"DF","Felix Torres","January 11, 1997","Santos Laguna","Ecuador"
"DF","Piero Hincapie","January 9, 2002","Bayer Leverkusen","Ecuador"
"DF","Robert Arboleda","October 22, 1991","Sao Paulo","Ecuador"
"DF","William Pacho","October 16, 2001","Antwerp","Ecuador"
"DF","Pervis Estupinan","January 21, 1998","Brighton","Ecuador"
"DF","Xavier Arreaga","September 28, 1994","Seattle Sounders FC","Ecuador"
"DF","Angelo Preciado","February 18 1998","Genk","Ecuador"
"DF","Diego Palacios","July 12, 1999","Los Angeles FC","Ecuador"
"DF","Jackson Porozo","August 4, 2000","Troyes","Ecuador"
"MF","Jose Cifuentes","March 12, 1999","Los Angeles FC","Ecuador"
"MF","Carlos Gruezo","April 19, 1995","FC Augsburg","Ecuador"
"MF","Angel Mena","January 21, 1988","Leon","Ecuador"
"MF","Jeremy Sarmiento","June 16, 2002","Brighton","Ecuador"
"MF","Gonzalo Plata","November 1, 2000","Real Valladolid","Ecuador"
"MF","Jhegson Mendez","April 26, 1997","Los Angeles FC","Ecuador"
"MF","Alan Franco","August 21, 1998","Talleres","Ecuador"
"MF","Moises Caicedo","November 2, 2001","Brighton","Ecuador"
"MF","Kevin Rodriguez","March 4, 2000","Imbabura","Ecuador"
"FW","Ayrton Preciado","July 17, 1994","Santos Laguna","Ecuador"
"FW","Romario Ibarra","September 24, 1994","Pachuca","Ecuador"
"FW","Michael Estrada","April 7, 1996","Cruz Azul","Ecuador"
"FW","Enner Valencia","November 4, 1989","Fenerbahce","Ecuador"
"FW","Djorkaeff Reasco","January 18, 1999","Newell's Old Boys","Ecuador"
"GK","Edouard Mendy","March 1, 1992","Chelsea","Senegal"
"GK","Alfred Gomis","September 5, 1993","Rennes","Senegal"
"GK","Seny Dieng","November 23, 1994","QPR","Senegal"
"DF","Formose Mendy","January 2, 2001","Amiens","Senegal"
"DF","Kalidou Koulibaly","June 20, 1991","Chelsea","Senegal"
"DF","Papa Abou Cisse","September 14, 1995","Olympiacos","Senegal"
"DF","Abdou Diallo","May 4, 1996","RB Leipzig","Senegal"
"DF","Fode Ballo-Toure","January 3, 1997","AC Milan","Senegal"
"DF","Ismail Jakobs","August 17, 1999","AS Monaco","Senegal"
"DF","Youssouf Sabaly","March 5, 1993","Real Betis","Senegal"
"DF","Moussa Ndiaye","June 18, 2002","Anderlecht","Senegal"
"MF","Papa Gueye","January 24, 1999","Marseille","Senegal"
"MF","Pape Matar Sarr","September 14, 2002","Tottenham Hotspur","Senegal"
"MF","Idrissa Gueye","September 26, 1989","Everton","Senegal"
"MF","Nampalys Mendy","June 23, 1992","Leicester City","Senegal"
